what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1565151181566
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1565151181567
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1565151181592
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1565151181828
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1565151182220
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1565151182260
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1565151182813
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1565151182830
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1565151182931
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1565151183105
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1565151183383
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1565151183384
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1565151187174
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1565151187297
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1565151187328
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1565151187509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565151187580
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1565151187590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565151195917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565151214139
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565151214474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565151646921
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1565151647328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565151651443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565151663653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565151669061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565151670975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565151757235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565151759889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565151791987
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565151797528
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1565151797540
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1565151800991
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1565151801226
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1565151801313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565151821974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565151822918
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1565151822987
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1565151822987
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565151910372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565151939000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565151947396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565151989813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565152049723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565152049892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565152079019
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565152342579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565152345322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565152346745
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1565152347326
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.closeProject",1565152351724
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1565152351971
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1565152352012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565152353304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565152354320
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565152354441
